Target,Model,R²,MAE,RMSE
PTS,Linear Regression,-0.061615237322774075,5.341117620351798,8.926187797473307
PTS,Ridge,0.8668324849324175,2.1645054323971102,3.161415628747939
PTS,Elastic Net,0.8575052283415636,2.084940502442775,3.27025721808503
PTS,Random Forest,0.9386162800453394,1.2204464600667926,2.1463920444476603
PTS,Gradient Boosting,-0.054437981625685916,5.18813151327475,8.895963013853683
REB,Linear Regression,0.20831183930023178,1.7664727785644598,3.021559251445108
REB,Ridge,0.6523350597836819,1.402842065524425,2.0023246246559987
REB,Elastic Net,0.6472514643481084,1.4036688858859856,2.0169106054122445
REB,Random Forest,0.7146869164643422,1.0585792752541738,1.8139064435527583
REB,Gradient Boosting,0.20665351318210057,1.6389705473401055,3.024722182040435
AST,Linear Regression,0.686248427867875,0.9079588265166844,1.328936153422888
AST,Ridge,0.6862509459328797,0.9079560047909543,1.3289308206140151
AST,Elastic Net,0.6842274525117827,0.8989423252487051,1.3332093370270222
AST,Random Forest,0.7072770524846379,0.7525592860361151,1.2836290760280897
AST,Gradient Boosting,0.7125715783440002,0.7522436593259967,1.271967504032788
