Target,Model,MAE,RMSE,R2,MAPE (%),Rank_R2
PTS,Linear Regression,5.249,8.87,-0.052,7.1664409815673464e+16,5.0
PTS,Ridge,2.239,3.208,0.862,2.903211887540701e+17,2.0
PTS,Elastic Net,2.222,3.383,0.847,2.4538336777784035e+17,3.0
PTS,Random Forest,1.127,1.96,0.949,4.492655061802916e+16,1.0
PTS,Gradient Boosting,5.154,8.841,-0.045,2.008856228027512e+16,4.0
REB,Linear Regression,1.698,2.96,0.242,8.050585752645872e+16,4.0
REB,Ridge,1.328,1.908,0.685,1.5089450582915194e+17,2.0
REB,Elastic Net,1.328,1.927,0.679,1.4551301756445034e+17,3.0
REB,Random Forest,1.043,1.788,0.723,4.117170366659991e+16,1.0
REB,Gradient Boosting,1.626,3.015,0.213,2.9137613063825376e+16,5.0
AST,Linear Regression,0.876,1.301,0.7,1.2674341303075493e+17,3.5
AST,Ridge,0.876,1.301,0.7,1.2675197590351533e+17,3.5
AST,Elastic Net,0.873,1.307,0.698,1.257179012008284e+17,5.0
AST,Random Forest,0.747,1.279,0.71,7.03049936543697e+16,2.0
AST,Gradient Boosting,0.749,1.271,0.714,7.0103446459498264e+16,1.0
